id,question,prob,resolution,calibration_err,brier,nr_bettors,volume,attention_q,avg_bet
ZJ9LlySKX4dldqcpdQ4G,Will Viktor Orban remain Hungary's prime minister after the 2026 elections?,0.1274,0,0.1274,0.0162,616,153124.96850903166,Q3_large,248.5794943328436
SZtIgNSCqZ,Will Trump praise Allah again by April 15? [Polymarket],0.99,1,0.01,0.0001,61,7845.75258914306,Q2_small,128.6188949039846
yUp805Aszl,Will Jiri Prochazka defeat Carlos Ulberg @ UFC 327?,0.0103,0,0.0103,0.0001,17,97129.76,Q4_sophisticated,5713.515294117647
PgQzqnchdN,Will I reach Candidate Master in the upcoming Codeforces Round?,0.03,0,0.03,0.0009,11,9120.490219611656,Q4_sophisticated,829.1354745101506
2cPRAQRqgQ,Will The Super Mario Galaxy Movie drop 50% or less in its second domestic weeken,0.9785,1,0.0215,0.0005,10,2887.8637424208305,Q3_large,288.78637424208307
A8OptSZlzt,Will Tisza get a ⅔ majority in the Hungarian national assembly?,0.99,1,0.01,0.0001,3,969.5217437296932,Q3_large,323.1739145765644
LztgQUq6PI,Will the Internet Roadtrip pass through NYC by the end of 2026?,0.9644,1,0.0356,0.0013,7,816.2587473455375,Q2_small,116.60839247793392
k5FBCm7IAYJQZNM6Oo9D,Will Christophe Laporte win a monument before Wout van Aert claims his next one?,0.01,0,0.01,0.0001,10,1796.7415537018292,Q2_small,179.67415537018292
2gZEQtlQyO,Lamine Yamal scores 15+ La Liga goals in 2025/26 season?,0.9499,1,0.0501,0.0025,23,1951.234836801532,Q1_retail,84.83629725224053
h9LI0pCnl8,Will MiniMax release the weights of its M2.7 model by the end of the week?,0.9499,1,0.0501,0.0025,4,392.4744871391589,Q2_small,98.11862178478972
E0SQsO2Z9Z,Will TISZA party win the 2026 Hungarian elections and get 50%+1 member of the pa,0.7595,1,0.2405,0.0578,39,3370.1348789745025,Q1_retail,86.41371484550007
Cpd9zsgISA,Will someone commit violence in the name of AI safety by 2030?,0.6051,1,0.3949,0.156,32,1787.967679486412,Q1_retail,55.87398998395037
cpQgOOq5cq,Will the Charlotte Hornets finish in the top 7 in the Eastern Conference?,0.1621,0,0.1621,0.0263,3,115.0,Q1_retail,38.333333333333336
P8U8dQSz6d,Will I get a bug bounty reward for an Infinite Mana Exploit?,0.9274,1,0.0726,0.0053,18,1241.7116824902344,Q1_retail,68.98398236056858
hS6UALSpOd,Will I leave the house before 11 a.m. every day next week?,0.39,1,0.61,0.3721,8,57.58016629976744,Q1_retail,7.19752078747093
S00c2dpyzd,Will I stick to my study schedule (4h daily target) next week?,0.37,1,0.63,0.3969,8,110.28163007770613,Q1_retail,13.785203759713266
gd8ERAuysQ,[ACX 2026] Will NASA's Artemis II complete its mission successfully before 2027?,0.9919,1,0.0081,0.0001,80,104883.26782200382,Q4_sophisticated,1311.0408477750477
z58Lydtp0P,Will this market have a number of traders that is equal to a prime number?,0.2545,0,0.2545,0.0648,22,683.762288320725,Q1_retail,31.08010401457841
0uAS0qE5cS,Daily Coinflip,0.5,1,0.5,0.25,6,230.93650003125143,Q1_retail,38.48941667187524
SuctLC8Ohl,Will Trump use the US military to assist in carrying out mass deportations in 20,0.9359,1,0.0641,0.0041,48,3592.213555457814,Q1_retail,74.83778240537113
Ocz8tQlqUP,Resolves to the side with the most holders at market close,0.7307,1,0.2693,0.0725,18,432.5600109778122,Q1_retail,24.031111720989568
tySdqLPg8O,Bitcoin $125K in October?,0.9912,1,0.0088,0.0001,12,11126.244009347907,Q4_sophisticated,927.1870007789922
QL9CS5OlqS,Will Manifold solve my puzzle? (Round 2),0.7402,1,0.2598,0.0675,137,119084.99828801144,Q4_sophisticated,869.2335641460689
uIUgl6IcZt,"Will Elan Mitsua reopen submissions before January 9, 2026 (JST)?",0.0994,0,0.0994,0.0099,4,563.8029726346464,Q2_small,140.9507431586616
pQpzZZIuC5,Claude Opus 4.6 released this week?,0.9982,1,0.0018,0.0,39,5547.987307468512,Q2_small,142.25608480688493
ZL9su5pgZU,"Who picks better Blast Open Fall 2025 Finals Fantasy Team, me or AI?",0.839,1,0.161,0.0259,9,326.7987062578176,Q1_retail,36.310967361979735
CgZcc2I2I9,Will the Seahawks defeat the 49ers?,0.99,1,0.01,0.0001,64,24460.67617879345,Q3_large,382.19806529364763
hOh2ucy9Et,Will I encounter newly made manifold spam before the end of the week?,0.7648,1,0.2352,0.0553,6,130.0,Q1_retail,21.666666666666668
E5QhQnd6CO,Daily Coinflip,0.5,1,0.5,0.25,6,109.29141555114715,Q1_retail,18.21523592519119
Zpu56clCyZ,Will this market reach 5%?,0.99,1,0.01,0.0001,26,63167.4105432164,Q4_sophisticated,2429.5157901237076
PSlnCCRlpO,Will this market resolve prime?,0.894,1,0.106,0.0112,12,487.431152417581,Q1_retail,40.61926270146508
RUI0CqAnqS,Will I pass on the mana?,0.9549,1,0.0451,0.002,25,2541.9001265357374,Q2_small,101.67600506142949
lQp5nQA2hR,"GPT-5 released before August 10, 2025?",0.9905,1,0.0095,0.0001,213,123866.95644932966,Q4_sophisticated,581.5350068043646
nnlcPnhyEI,China's 70-city new home price index for January 2026 ≥ -2.0% YoY?,0.0134,0,0.0134,0.0002,29,120009.5228178304,Q4_sophisticated,4138.259407511393
Oz50nyhtpp,Trump tries to fire Powell before September 1?,0.0105,0,0.0105,0.0001,87,28210.93285796177,Q3_large,324.26359606852606
S56gAZROOO,Will @Dagonet trade on this market?,0.99,1,0.01,0.0001,7,133.32229967622197,Q1_retail,19.046042810888853
ctpI8ZuOC8,Will Nvidia close the day in Green today? (March 16),0.5488,1,0.4512,0.2036,2,16.0,Q1_retail,8.0
9SpINtShUs,Will Apple acquire Snap in 2025?,0.0088,0,0.0088,0.0001,97,37030.31430398244,Q3_large,381.7558175668293
6Slqpu6O8h,Daily Coinflip,0.5,1,0.5,0.25,7,247.1206993374508,Q1_retail,35.302957048207254
855hdPpsc2,Will anybody hold at least 5000 NO shares on this market?,0.9792,1,0.0208,0.0004,13,13394.087201138556,Q4_sophisticated,1030.3144000875814
